# Atmospheric Model 10 (Windhoek, Namibia, all year average) as fitted to radiosonde data          
#Col. #1          #2           #3            #4        [ #5 ]     [ #6 ]       [ # 7 ]
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1        T [K]    p [mbar]      pw / p
     0.000    1.19504E-03  1.03925E+03  2.76852E-04    293.96   1.01400E+03  1.27000E-02 (extrapolated)
     1.726    9.96759E-04  8.50546E+02  2.30678E-04    288.78   8.29494E+02  8.75141E-03
     2.000    9.70618E-04  8.23593E+02  2.24593E-04    287.21   8.03149E+02  8.13586E-03
     3.000    8.80065E-04  7.31117E+02  2.03529E-04    281.36   7.12775E+02  6.03745E-03
     4.000    7.96675E-04  6.47333E+02  1.84157E-04    275.32   6.30921E+02  4.25994E-03
     5.000    7.19916E-04  5.71553E+02  1.66350E-04    269.10   5.56911E+02  2.85794E-03
     6.000    6.49319E-04  5.03137E+02  1.49993E-04    262.68   4.90113E+02  1.82307E-03
     7.000    5.84456E-04  4.41491E+02  1.34980E-04    256.09   4.29945E+02  1.10574E-03
     8.000    5.24929E-04  3.86062E+02  1.21213E-04    249.32   3.75860E+02  6.37681E-04
     9.000    4.70357E-04  3.36335E+02  1.08599E-04    242.37   3.27355E+02  3.49666E-04
    10.000    4.20370E-04  2.91833E+02  9.70505E-05    235.27   2.83960E+02  1.82307E-04
    11.000    3.74605E-04  2.52114E+02  8.64780E-05    228.04   2.45242E+02  0.00000E+00
    12.000    3.32633E-04  2.16780E+02  7.67865E-05    220.76   2.10809E+02  0.00000E+00
    13.000    2.94003E-04  1.85472E+02  6.78673E-05    213.63   1.80308E+02  0.00000E+00
    14.000    2.58134E-04  1.57883E+02  5.95860E-05    207.07   1.53440E+02  0.00000E+00
    15.000    2.24419E-04  1.33770E+02  5.18026E-05    201.74   1.29964E+02  0.00000E+00
    16.000    1.92557E-04  1.12935E+02  4.44471E-05    198.44   1.09686E+02  0.00000E+00
    17.000    1.62935E-04  9.51815E+01  3.76094E-05    197.58   9.24117E+01  0.00000E+00
    18.000    1.36442E-04  8.02410E+01  3.14940E-05    198.84   7.78794E+01  0.00000E+00
    19.000    1.13718E-04  6.77641E+01  2.62485E-05    201.41   6.57474E+01  0.00000E+00
    20.000    9.47653E-05  5.73690E+01  2.18737E-05    204.55   5.56427E+01  0.00000E+00
    21.000    7.91508E-05  4.86980E+01  1.82695E-05    207.82   4.72165E+01  0.00000E+00
    22.000    6.63170E-05  4.14448E+01  1.53072E-05    211.02   4.01704E+01  0.00000E+00
    23.000    5.57471E-05  3.53580E+01  1.28674E-05    214.09   3.42592E+01  0.00000E+00
    24.000    4.70108E-05  3.02334E+01  1.08509E-05    217.01   2.92840E+01  0.00000E+00
    25.000    3.97624E-05  2.59056E+01  9.17780E-06    219.77   2.50836E+01  0.00000E+00
    27.500    2.64737E-05  1.77486E+01  6.11052E-06    225.96   1.71711E+01  0.00000E+00
    30.000    1.78892E-05  1.22789E+01  4.12908E-06    231.15   1.18695E+01  0.00000E+00
    32.500    1.21494E-05  8.58252E+00  2.80423E-06    237.70   8.28951E+00  0.00000E+00
    35.000    8.36597E-06  6.04908E+00  1.93097E-06    243.10   5.83777E+00  0.00000E+00
    37.500    5.80972E-06  4.29757E+00  1.34096E-06    248.50   4.14407E+00  0.00000E+00
    40.000    4.06603E-06  3.07677E+00  9.38491E-07    254.00   2.96449E+00  0.00000E+00
    42.500    2.86918E-06  2.21903E+00  6.62242E-07    259.40   2.13635E+00  0.00000E+00
    45.000    2.03973E-06  1.61163E+00  4.70795E-07    264.80   1.55037E+00  0.00000E+00
    47.500    1.46319E-06  1.17794E+00  3.37721E-07    269.60   1.13231E+00  0.00000E+00
    50.000    1.06989E-06  8.63872E-01  2.46943E-07    270.20   8.29789E-01  0.00000E+00
    55.000    5.85578E-07  4.61593E-01  1.35158E-07    263.40   4.42736E-01  0.00000E+00
    60.000    3.18764E-07  2.41791E-01  7.35746E-08    253.10   2.31583E-01  0.00000E+00
    65.000    1.72595E-07  1.22244E-01  3.98369E-08    236.00   1.16918E-01  0.00000E+00
    70.000    8.93367E-08  5.87717E-02  2.06200E-08    218.90   5.61332E-02  0.00000E+00
    75.000    4.38826E-08  2.66501E-02  1.01286E-08    201.80   2.54190E-02  0.00000E+00
    80.000    2.02603E-08  1.12822E-02  4.67633E-09    184.80   1.07471E-02  0.00000E+00
    85.000    8.44421E-09  4.51109E-03  1.94902E-09    177.10   4.29261E-03  0.00000E+00
    90.000    3.31239E-09  1.76913E-03  7.64540E-10    177.00   1.68290E-03  0.00000E+00
    95.000    1.27231E-09  7.06484E-04  2.93664E-10    184.30   6.73072E-04  0.00000E+00
   100.000    5.09237E-10  2.90892E-04  1.17538E-10    190.70   2.78750E-04  0.00000E+00
   105.000    2.01684E-10  1.26201E-04  4.65512E-11    212.00   1.22730E-04  0.00000E+00
   110.000    8.54992E-11  5.91342E-05  1.97342E-11    241.60   5.92929E-05  0.00000E+00
   115.000    3.74433E-11  3.04583E-05  8.64237E-12    299.70   3.22111E-05  0.00000E+00
   120.000    1.81716E-11  1.73182E-05  4.19422E-12    380.00   1.98208E-05  0.00000E+00
