#,Atmospheric,Model,10,|(Windhoek,|,|Namibia,|,all,year,average),as,fitted,to,radiosonde,data
#Col.,#1,#2,#3,#4,[,#5,],[,#6,],[,#,7,],
#,Alt,[km],rho,[g/cm^3],thick,[g/cm^2],n-1,T,[K],p,[mbar],pw,/,p,
0,0.00119504,1039.25,0.000276852,293.96,1014,0.0127,0,,,,,,,,
1.726,0.000996759,850.546,0.000230678,288.78,829.494,0.00875141,0.141,,,,,,,,
2,0.000970618,823.593,0.000224593,287.21,803.149,0.00813586,0.239,,,,,,,,
3,0.000880065,731.117,0.000203529,281.36,712.775,0.00603745,0.309,,,,,,,,
4,0.000796675,647.333,0.000184157,275.32,630.921,0.00425994,0.362,,,,,,,,
5,0.000719916,571.553,0.00016635,269.1,556.911,0.00285794,0.403,,,,,,,,
6,0.000649319,503.137,0.000149993,262.68,490.113,0.00182307,0.435,,,,,,,,
7,0.000584456,441.491,0.00013498,256.09,429.945,0.00110574,0.462,,,,,,,,
8,0.000524929,386.062,0.000121213,249.32,375.86,0.000637681,0.485,,,,,,,,
9,0.000470357,336.335,0.000108599,242.37,327.355,0.000349666,0.505,,,,,,,,
10,0.00042037,291.833,9.70505E-005,235.27,283.96,0.000182307,0.521,,,,,,,,
11,0.000374605,252.114,0.000086478,228.04,245.242,0,0.536,,,,,,,,
12,0.000332633,216.78,7.67865E-005,220.76,210.809,0,0.549,,,,,,,,
13,0.000294003,185.472,6.78673E-005,213.63,180.308,0,0.56,,,,,,,,
14,0.000258134,157.883,0.000059586,207.07,153.44,0,0.569,,,,,,,,
15,0.000224419,133.77,5.18026E-005,201.74,129.964,0,0.577,,,,,,,,
16,0.000192557,112.935,4.44471E-005,198.44,109.686,0,0.584,,,,,,,,
17,0.000162935,95.1815,3.76094E-005,197.58,92.4117,0,0.589,,,,,,,,
18,0.000136442,80.241,0.000031494,198.84,77.8794,0,0.594,,,,,,,,
19,0.000113718,67.7641,2.62485E-005,201.41,65.7474,0,0.598,,,,,,,,
20,9.47653E-005,57.369,2.18737E-005,204.55,55.6427,0,0.602,,,,,,,,
21,7.91508E-005,48.698,1.82695E-005,207.82,47.2165,0,0.605,,,,,,,,
22,0.000066317,41.4448,1.53072E-005,211.02,40.1704,0,0.607,,,,,,,,
23,5.57471E-005,35.358,1.28674E-005,214.09,34.2592,0,0.609,,,,,,,,
24,4.70108E-005,30.2334,1.08509E-005,217.01,29.284,0,0.611,,,,,,,,
25,3.97624E-005,25.9056,9.1778E-006,219.77,25.0836,0,0.613,,,,,,,,
27.5,2.64737E-005,17.7486,6.11052E-006,225.96,17.1711,0,0.615,,,,,,,,
30,1.78892E-005,12.2789,4.12908E-006,231.15,11.8695,0,0.617,,,,,,,,
32.5,1.21494E-005,8.58252,2.80423E-006,237.7,8.28951,0,0.619,,,,,,,,
35,0.000008366,6.04908,0.000001931,243.1,5.83777,0,0.62,,,,,,,,
37.5,5.80972E-006,4.29757,0.000001341,248.5,4.14407,0,0.621,,,,,,,,
40,0.000004066,3.07677,9.38491E-007,254,2.96449,0,0.621,,,,,,,,
42.5,2.86918E-006,2.21903,6.62242E-007,259.4,2.13635,0,0.622,,,,,,,,
45,2.03973E-006,1.61163,4.70795E-007,264.8,1.55037,0,0.622,,,,,,,,
47.5,1.46319E-006,1.17794,3.37721E-007,269.6,1.13231,0,0.622,,,,,,,,
50,1.06989E-006,0.863872,2.46943E-007,270.2,0.829789,0,0.622,,,,,,,,
55,5.85578E-007,0.461593,1.35158E-007,263.4,0.442736,0,0.622,,,,,,,,
60,3.18764E-007,0.241791,7.35746E-008,253.1,0.231583,0,0.622,,,,,,,,
65,1.72595E-007,0.122244,3.98369E-008,236,0.116918,0,0.622,,,,,,,,
70,8.93367E-008,0.0587717,2.062E-008,218.9,0.0561332,0,0.622,,,,,,,,
75,4.38826E-008,0.0266501,1.01286E-008,201.8,0.025419,0,0.622,,,,,,,,
80,2.02603E-008,0.0112822,4.67633E-009,184.8,0.0107471,0,0.622,,,,,,,,
85,8.44421E-009,0.00451109,1.94902E-009,177.1,0.00429261,0,0.622,,,,,,,,
90,3.31239E-009,0.00176913,7.6454E-010,177,0.0016829,0,0.622,,,,,,,,
95,1.27231E-009,0.000706484,2.93664E-010,184.3,0.000673072,0,0.622,,,,,,,,
100,5.09237E-010,0.000290892,1.17538E-010,190.7,0.00027875,0,0.622,,,,,,,,
105,2.01684E-010,0.000126201,4.65512E-011,212,0.00012273,0,0.622,,,,,,,,
110,8.54992E-011,5.91342E-005,1.97342E-011,241.6,5.92929E-005,0,0.622,,,,,,,,
115,3.74433E-011,3.04583E-005,8.64237E-012,299.7,3.22111E-005,0,0.622,,,,,,,,
120,1.81716E-011,1.73182E-005,4.19422E-012,380,1.98208E-005,0,0.622,,,,,,,,
